79.14,5.756406843662262,0.8143021914648212,0.975051975051975,0.618431689571544,0.7208333333333333,0.5986238532110092,0.9498289623717218,0.6301020408163265,0.7863599013968776,0.9301397205588823,0.9466950959488273,0.706,0.938,0.765,0.865,0.783,0.833,0.247,0.957,0.932,0.888
81.76,5.034772098064423,0.7525581395348837,0.9873551106427819,0.5977808599167822,0.7477403451109285,0.750278706800446,0.9432773109243697,0.7786885245901639,0.8864758144126358,0.9164265129682997,0.9064885496183206,0.809,0.937,0.862,0.91,0.673,0.898,0.285,0.898,0.954,0.95
83.78,4.585286438465118,0.7407079646017699,0.983453981385729,0.7767295597484277,0.7455716586151369,0.742,0.9682713347921226,0.6577086280056577,0.8524734982332155,0.9555555555555556,0.9543568464730291,0.837,0.951,0.741,0.926,0.742,0.885,0.465,0.965,0.946,0.92
84.95,4.210571885108948,0.7975951903807615,0.9895397489539749,0.7868852459016393,0.808256880733945,0.75,0.9270935960591133,0.6262513904338154,0.9243353783231084,0.94994994994995,0.9238187078109933,0.796,0.946,0.768,0.881,0.789,0.941,0.563,0.904,0.949,0.958
85.72,4.0588496923446655,0.7696428571428572,0.9815195071868583,0.8006230529595015,0.8733264675592173,0.7458410351201479,0.9528688524590164,0.6548042704626335,0.8985645933014355,0.938953488372093,0.9436619718309859,0.862,0.956,0.771,0.848,0.807,0.93,0.552,0.939,0.969,0.938
85.42,4.0929398238658905,0.8193018480492813,0.9865563598759048,0.723037100949094,0.8055555555555556,0.7614314115308151,0.9476334340382678,0.7104136947218259,0.9216080402010051,0.9180790960451978,0.9308666017526777,0.798,0.954,0.838,0.899,0.766,0.941,0.498,0.917,0.975,0.956
86.06,3.9109131693840027,0.7869003690036901,0.9846625766871165,0.7821393523061825,0.8622398414271556,0.7468123861566485,0.9727463312368972,0.6819875776397516,0.9285714285714286,0.9579158316633266,0.8934802571166207,0.853,0.963,0.797,0.87,0.82,0.928,0.549,0.897,0.956,0.973
86.38,3.8106355369091034,0.8169154228855722,0.9947698744769874,0.7826510721247564,0.8116710875331565,0.7846790890269151,0.9523336643495531,0.6617977528089888,0.9391752577319588,0.9498525073746312,0.9321705426356589,0.821,0.951,0.803,0.918,0.758,0.959,0.589,0.911,0.966,0.962
85.57,3.88680699467659,0.907202216066482,0.9885773624091381,0.722080136402387,0.8295454545454546,0.7850467289719626,0.9502982107355865,0.6074600355239786,0.9276381909547738,0.9704383282364933,0.941871921182266,0.655,0.952,0.847,0.876,0.756,0.956,0.684,0.923,0.952,0.956
86.36,3.76645028591156,0.8189054726368159,0.9947643979057592,0.7063106796116505,0.8660098522167488,0.8104046242774566,0.9634517766497462,0.671067106710671,0.928,0.959122632103689,0.9357351509250244,0.823,0.95,0.873,0.879,0.701,0.949,0.61,0.928,0.962,0.961
